CustomerID,Recency,Frequency,Monetary,churn_risk,segment,top_reason,action_code
12372,71,3,1298.04,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12373,310,3,1127.65,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12374,24,4,2989.2200000000003,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12375,10,2,457.5,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12376,389,2,503.15,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12377,314,4,3426.32,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12378,129,2,5416.32,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12379,81,4,1620.22,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12380,21,11,9676.300000000001,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12381,4,5,1845.31,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12383,184,5,1850.56,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12384,28,2,585.27,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12385,378,1,1938.4,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12386,337,2,401.9,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12387,414,1,143.94,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12388,15,8,3901.11,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12389,402,3,1433.33,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12390,79,1,549.84,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12391,21,6,2724.84,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12392,590,1,234.75000000000003,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12393,71,6,2399.45,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12394,63,2,1272.48,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12395,18,15,4721.17,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12396,673,1,931.4300000000001,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12397,35,2,2409.9,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12398,45,1,1635.6599999999999,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12399,118,7,1962.3,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12400,413,1,205.25,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12401,302,1,84.3,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12402,322,6,1256.9,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12403,49,2,1019.36,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12404,681,1,63.24,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12405,148,1,1710.39,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12406,21,5,6390.36,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12407,49,5,1708.12,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12408,32,8,4340.77,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12409,78,7,23419.29,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12410,308,3,1013.71,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12411,409,1,346.9,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12412,74,6,2596.93,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12413,66,4,999.45,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12414,216,6,952.4100000000001,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12415,23,28,144458.37,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12416,656,1,202.56,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12417,2,20,6797.41,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12418,112,4,2021.2,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12419,385,2,503.01,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12420,63,1,600.39,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12421,15,6,1098.6,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12422,95,17,5231.8,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12423,0,10,2622.39,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12424,162,4,3340.0299999999997,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12425,77,2,1741.41,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12426,194,2,1345.21,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12427,21,3,825.8000000000001,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12428,25,9,7956.46,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12429,8,8,6204.41,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12430,42,1,256.4,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12431,35,27,10432.220000000001,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12432,42,5,5059.32,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12433,0,10,16794.14,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12434,84,3,1103.43,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12435,79,6,13925.93,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12436,99,1,509.01,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12437,1,39,12683.4,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12438,13,2,2906.85,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12439,682,2,1142.88,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12440,461,2,859.2,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12441,366,1,173.55,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12442,2,1,172.06,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12443,731,1,485.31,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12444,20,5,5005.46,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12445,21,2,434.98,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12446,57,1,1002.3100000000001,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12447,242,1,476.49,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12448,43,1,449.45,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12449,21,6,4835.89,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12450,155,5,688.2,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12451,10,8,12669.88,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12452,16,2,430.57000000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12453,133,1,707.09,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12454,55,5,16679.78,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12455,72,10,5879.95,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12456,43,3,3181.04,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12457,65,8,2995.91,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12458,70,4,1777.49,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12459,604,1,454.36,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12460,455,1,326.65,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12461,93,2,826.88,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12462,18,2,1189.59,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12463,52,4,1344.78,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12464,9,8,1212.05,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12465,16,2,742.19,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12466,681,1,56.73,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12467,422,1,132.8,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12468,187,5,3670.7400000000002,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12469,522,2,3070.54,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12470,689,1,211.95,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12471,1,79,39918.19,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12472,31,19,16249.29,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12473,28,5,3928.05,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12474,16,31,12372.75,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12475,53,2,1149.64,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12476,15,23,14083.91,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12477,22,9,20276.37,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12478,3,1,680.99,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12479,10,1,527.2,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12480,27,7,5464.85,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12481,22,15,12185.51,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12482,575,29,23691.4,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12483,16,19,5097.18,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12484,32,12,6354.1,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12485,528,1,708.1,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12486,431,1,1037.28,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12487,730,1,285.3,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12488,9,3,1298.66,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12489,335,1,334.93,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12490,4,21,9823.64,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12491,38,1,460.40000000000003,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12492,62,3,715.21,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12493,165,2,433.74,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12494,15,9,1815.27,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12495,640,1,357.4,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12496,619,2,45.34,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12497,81,3,6248.5,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12498,20,3,403.70000000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12499,559,1,393.72,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12500,22,19,5955.21,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12501,336,1,2169.39,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12502,95,5,3723.87,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12503,583,1,1126.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12504,17,4,779.05,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12505,408,1,955.2,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12506,232,1,73.5,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12507,133,4,1844.06,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12508,25,2,397.88,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12509,283,1,176.5,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12510,142,9,5178.02,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12511,428,1,3084.02,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12512,65,2,132.18,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12513,112,1,612.29,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12514,266,2,1597.76,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12515,352,1,383.7,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12516,77,4,2648.62,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12517,27,5,2481.6,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12518,0,5,2056.89,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12519,63,2,716.54,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12520,78,5,2634.26,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12521,142,1,599.68,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12522,38,2,192.72,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12523,18,23,4352.35,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12524,8,17,11126.11,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12525,497,3,973.73,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12526,0,3,1316.66,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12527,81,5,735.51,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12528,8,6,1933.48,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12529,527,1,316.48,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12530,59,9,3759.26,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12531,14,2,1933.2,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12532,29,1,349.83000000000004,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12533,627,2,1367.89,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12534,130,1,1089.18,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12535,91,2,716.35,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12536,42,3,12601.830000000002,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12537,408,1,732.94,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12538,28,2,640.45,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12539,21,7,11214.75,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12540,19,33,22254.49,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12541,29,3,981.18,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12542,483,2,481.88,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12543,447,1,980.25,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12544,35,1,372.7,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12545,74,2,1000.39,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12546,46,2,1161.5,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12547,197,3,383.58,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12548,165,1,95.19999999999999,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12549,575,6,1575.68,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12550,78,1,964.83,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12551,357,1,168.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12552,38,2,437.82,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12553,7,12,4608.75,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12554,448,1,468.5,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12555,681,1,129.23,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12556,49,2,599.56,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12557,15,8,18096.14,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12558,7,1,269.96,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12559,310,2,561.71,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12560,4,3,2134.01,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12561,302,1,238.85,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12562,7,9,4966.92,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12563,408,1,249.24,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12564,260,1,456.90000000000003,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12565,288,1,145.92000000000002,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12566,85,1,351.65,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12567,22,15,11767.48,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12568,644,1,70.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12569,1,32,4124.6900000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12570,681,1,77.52,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12571,39,2,519.61,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12572,8,2,1020.4200000000001,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12573,226,5,717.41,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12574,315,1,218.45000000000002,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12575,456,2,622.82,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12576,35,8,2142.7200000000003,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12577,34,8,1617.1,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12578,20,4,4642.45,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12579,77,1,440.42,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12580,246,2,1052.9,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12581,39,1,197.71,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12582,238,4,1980.4,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12583,2,27,13591.58,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12584,3,9,2338.15,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12585,233,2,2040.1,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12586,16,4,2062.67,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12587,7,1,144.0,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12588,38,4,958.78,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12589,28,8,4695.66,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12590,210,2,9864.26,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12591,316,3,1338.95,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12592,91,5,2582.66,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12593,108,3,418.1,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12594,37,15,5090.110000000001,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12595,504,1,299.02,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12596,50,2,618.27,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12597,18,4,3811.22,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12598,9,11,4534.09,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12599,28,13,2296.72,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12600,28,21,4967.42,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12601,189,6,681.26,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12602,58,1,153.12,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12603,21,1,739.1999999999999,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12604,78,2,254.18,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12605,375,4,1232.95,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12606,681,1,21.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12607,59,1,1579.51,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12608,404,1,415.79,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12609,77,9,3435.86,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12610,22,5,2099.54,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12611,51,1,1193.32,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12612,73,1,704.04,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12613,56,10,6817.37,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12614,277,1,315.6,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12615,1,8,5740.9800000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12616,94,3,1131.1,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12617,28,1,352.98,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12618,21,1,177.31,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12619,15,10,3781.38,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12620,14,3,1339.41,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12621,1,35,24311.2,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12622,231,1,180.1,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12623,275,7,3747.84,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12624,105,2,641.13,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12625,211,4,5164.88,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12626,22,9,6620.4800000000005,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12627,10,7,4478.53,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12628,3,3,786.46,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12629,385,2,1558.22,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12630,9,2,1270.88,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12631,56,6,3481.57,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12632,520,2,804.88,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12633,58,7,5678.16,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12634,535,2,490.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12635,89,4,2930.41,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12636,738,1,141.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12637,66,12,8283.81,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12638,32,2,921.49,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12639,238,3,1312.3700000000001,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12640,23,3,1174.58,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12641,114,1,185.9,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12642,24,3,1013.26,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12643,127,12,8304.82,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12644,129,4,1918.49,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12645,33,8,3539.3,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12646,4,2,1346.97,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12647,21,36,16955.55,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12648,154,4,1112.0,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12649,106,8,2294.65,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12650,2,1,314.44,0.000341448,Low Risk,Recency,LOYALTY ENGAGEMENT
12651,334,4,377.75,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12652,330,2,1017.0300000000001,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
12653,148,3,4160.83,0.9996691,High Risk,Recency,URGENT CALL + DISCOUNT OFFER
